"subject_id","seed","mean_numerosity","appearance","first_estimate_raw","second_estimate_raw","geometric_mean_raw","first_error_raw","second_error_raw","geom_mean_error_raw","estimate_difference_raw","mean_individual_error_raw","woic_magnitude_raw","c_mean_numerosity"
"85939",74,63.625,"diffPos_diffObj",90,60,73.4846922834954,26.375,3.625,9.85969228349536,30,15,5.14030771650464,-35.71875
"85939",75,106.625,"diffPos_diffObj",110,126,117.728501222092,3.375,19.375,11.1035012220915,16,11.375,0.271498777908477,7.28125
"85939",76,49.625,"diffPos_diffObj",75,53,63.0476010645925,25.375,3.375,13.4226010645925,22,14.375,0.952398935407537,-49.71875
"85939",77,106.625,"diffPos_diffObj",115,128,121.326007104825,8.375,21.375,14.7010071048248,13,14.875,0.173992895175203,7.28125
"85939",78,49.625,"samePos_diffObj",60,56,57.9655069847578,10.375,6.375,8.34050698475778,4,8.375,0.0344930152422194,-49.71875
"85939",79,77.625,"samePos_sameObj",75,80,77.4596669241483,2.625,2.375,0.165333075851692,5,2.5,2.33466692414831,-21.71875
"85939",80,149.625,"diffPos_diffObj",130,133,131.491444588612,19.625,16.625,18.133555411388,3,18.125,-0.00855541138804483,50.28125
"85939",81,120.625,"samePos_diffObj",113,123,117.894020204589,7.625,2.375,2.73097979541123,10,5,2.26902020458877,21.28125
"85939",82,135,"diffPos_diffObj",118,124,120.9628042003,17,11,14.0371957997004,6,14,-0.0371957997004415,35.65625
"85939",83,49.625,"samePos_sameObj",50,57,53.3853912601565,0.375,7.375,3.76039126015655,7,3.875,0.114608739843455,-49.71875
"85939",84,92,"samePos_diffObj",75,87,80.7774721070175,17,5,11.2225278929825,12,11,-0.222527892982455,-7.34375
"85939",85,135,"samePos_sameObj",111,113,111.99553562531,24,22,23.0044643746904,2,23,-0.00446437469041427,35.65625
"85939",86,63.625,"diffPos_sameObj",76,76,76,12.375,12.375,12.375,0,12.375,0,-35.71875
"85939",87,77.625,"diffPos_sameObj",67,63,64.9692234831231,10.625,14.625,12.6557765168769,4,12.625,-0.0307765168768697,-21.71875
"85939",88,49.625,"diffPos_diffObj",70,52,60.3324125159935,20.375,2.375,10.7074125159935,18,11.375,0.667587484006546,-49.71875
